engine_size_l,fuel_type,annual_mileage_km,vehicle_age_years,driving_style,road_type,emission_standard,maintenance_status,traffic_exposure,vehicle_category,co2_emissions_gkm
3.310943080643368,Petrol,9030.736916658396,14.0,Normal,Highway,Euro 3,Fair,Low,Hatchback,85.43716346546633
3.06033750468714,CNG,19623.405401552507,1.0,Aggressive,Mixed,Euro 5,Poor,Low,Sedan,278.68580223187
3.7428289171443034,Hybrid,14206.802990417804,,Aggressive,Highway,Euro 4,Fair,Low,Hatchback,95.57677301684278
3.5981297242615593,Petrol,7485.037782688659,5.0,Eco,Mixed,Euro 4,Good,Low,Truck,162.827842975818
2.6969828128263202,LPG,23977.153605176023,1.0,Eco,Mixed,Euro 6,Fair,High,Truck,97.8397182322885
2.699980961679453,CNG,36121.49949443067,1.0,Normal,Urban,Euro 3,Good,High,Truck,249.17292548274222
1.563113360048928,LPG,28645.99538609438,,Normal,Urban,Euro 4,Poor,Low,Hatchback,111.08929414860648
3.0529542883858367,CNG,13738.813579317892,3.0,Normal,Mixed,Euro 5,Fair,Medium,SUV,274.6465202577407
3.348716512542787,LPG,25075.46124338262,2.0,Eco,Highway,Euro 4,Poor,Medium,SUV,196.64883705013574
2.905957589415305,LPG,38013.19991714391,7.0,Aggressive,Urban,Euro 6,Excellent,Medium,,288.6640202801872
2.302829340347996,Petrol,30302.026852302737,13.0,Normal,Urban,Euro 6,Fair,Low,Hatchback,143.87940081780297
3.8865941770069434,,29131.58647923674,6.0,Aggressive,Mixed,Euro 3,Fair,High,SUV,179.949553413246
1.2986465785808963,CNG,38885.53581796307,1.0,Normal,Highway,Euro 5,Poor,High,Sedan,232.73433171250716
4.657761479016189,Hybrid,32960.56589144087,2.0,Normal,Urban,Euro 5,Poor,High,Truck,263.0209287656113
1.0825737581831731,Petrol,9781.824008456326,9.0,Aggressive,Urban,Euro 4,Poor,High,Truck,172.6985593040335
4.849400533753112,Petrol,17167.22804416705,8.0,Normal,Highway,Euro 5,Excellent,Medium,Sedan,276.3351584319761
2.8494224037386497,Diesel,38779.92452581901,12.0,Aggressive,Urban,Euro 4,Excellent,Medium,,
2.6506797760141647,Petrol,22139.688796929924,4.0,Aggressive,Highway,Euro 4,Poor,High,Hatchback,235.910638138221
,Hybrid,8907.310586241489,1.0,Normal,Mixed,Euro 3,Fair,Low,Sedan,156.6037760870053
